[2024-04-01T07:49:01.404+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: deploy_project_kafkaClickhouse.task_1_runConsumer manual__2024-04-01T07:49:00.337864+00:00 [queued]>
[2024-04-01T07:49:01.414+0000] {taskinstance.py:1157} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: deploy_project_kafkaClickhouse.task_1_runConsumer manual__2024-04-01T07:49:00.337864+00:00 [queued]>
[2024-04-01T07:49:01.414+0000] {taskinstance.py:1359} INFO - Starting attempt 1 of 2
[2024-04-01T07:49:01.435+0000] {taskinstance.py:1380} INFO - Executing <Task(BashOperator): task_1_runConsumer> on 2024-04-01 07:49:00.337864+00:00
[2024-04-01T07:49:01.441+0000] {standard_task_runner.py:57} INFO - Started process 230 to run task
[2024-04-01T07:49:01.444+0000] {standard_task_runner.py:84} INFO - Running: ['***', 'tasks', 'run', 'deploy_project_kafkaClickhouse', 'task_1_runConsumer', 'manual__2024-04-01T07:49:00.337864+00:00', '--job-id', '39', '--raw', '--subdir', 'DAGS_FOLDER/executeClickhouse.py', '--cfg-path', '/tmp/tmp6j0046cj']
[2024-04-01T07:49:01.445+0000] {standard_task_runner.py:85} INFO - Job 39: Subtask task_1_runConsumer
[2024-04-01T07:49:01.488+0000] {task_command.py:415} INFO - Running <TaskInstance: deploy_project_kafkaClickhouse.task_1_runConsumer manual__2024-04-01T07:49:00.337864+00:00 [running]> on host 977df1ccf323
[2024-04-01T07:49:01.549+0000] {taskinstance.py:1660} INFO - Exporting env vars: AIRFLOW_CTX_DAG_OWNER='***' AIRFLOW_CTX_DAG_ID='deploy_project_kafkaClickhouse' AIRFLOW_CTX_TASK_ID='task_1_runConsumer' AIRFLOW_CTX_EXECUTION_DATE='2024-04-01T07:49:00.337864+00:00' AIRFLOW_CTX_TRY_NUMBER='1' AIRFLOW_CTX_DAG_RUN_ID='manual__2024-04-01T07:49:00.337864+00:00'
[2024-04-01T07:49:01.550+0000] {subprocess.py:63} INFO - Tmp dir root location: /tmp
[2024-04-01T07:49:01.550+0000] {subprocess.py:75} INFO - Running command: ['/bin/bash', '-c', 'python /opt/***/dags/clickhouse/consumer.py']
[2024-04-01T07:49:01.560+0000] {subprocess.py:86} INFO - Output:
[2024-04-01T08:21:43.031+0000] {subprocess.py:93} INFO - Subscribed to Kafka topic: log_data
[2024-04-01T08:21:43.031+0000] {subprocess.py:93} INFO - 
[2024-04-01T08:21:43.031+0000] {subprocess.py:93} INFO - inserting data into ClickHouse...
[2024-04-01T08:21:43.031+0000] {subprocess.py:93} INFO - 
[2024-04-01T08:21:43.031+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 08:30:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.033+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 13:00:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
[2024-04-01T08:21:43.033+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 14:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.033+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 15:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
[2024-04-01T08:21:43.033+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 16:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.033+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 08:30:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.033+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 09:15:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
[2024-04-01T08:21:43.033+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 10:00:00', 67890, 'click', 'ad789', 'campaign_def', 'Twitter Ads')
[2024-04-01T08:21:43.033+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 10:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.033+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 11:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
[2024-04-01T08:21:43.033+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 12:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.034+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 13:00:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
[2024-04-01T08:21:43.034+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 14:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.034+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 15:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
[2024-04-01T08:21:43.034+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 16:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.034+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 08:30:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.034+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 09:15:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
[2024-04-01T08:21:43.034+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 10:00:00', 67890, 'click', 'ad789', 'campaign_def', 'Twitter Ads')
[2024-04-01T08:21:43.034+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 10:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.034+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 11:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
[2024-04-01T08:21:43.034+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 12:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.034+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 13:00:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
[2024-04-01T08:21:43.035+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 14:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.035+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 15:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
[2024-04-01T08:21:43.035+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 16:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.035+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 08:30:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.035+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 09:15:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
[2024-04-01T08:21:43.035+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 10:00:00', 67890, 'click', 'ad789', 'campaign_def', 'Twitter Ads')
[2024-04-01T08:21:43.035+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 10:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.035+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 11:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
[2024-04-01T08:21:43.035+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 12:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.035+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 13:00:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
[2024-04-01T08:21:43.035+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 14:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.035+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 15:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
[2024-04-01T08:21:43.036+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 16:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.036+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 08:30:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.036+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 09:15:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
[2024-04-01T08:21:43.036+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 10:00:00', 67890, 'click', 'ad789', 'campaign_def', 'Twitter Ads')
[2024-04-01T08:21:43.036+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 10:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.036+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 11:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
[2024-04-01T08:21:43.036+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 12:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.036+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 13:00:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
[2024-04-01T08:21:43.036+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 14:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.036+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 15:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
[2024-04-01T08:21:43.036+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 16:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.036+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 08:30:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.037+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 09:15:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
[2024-04-01T08:21:43.037+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 10:00:00', 67890, 'click', 'ad789', 'campaign_def', 'Twitter Ads')
[2024-04-01T08:21:43.037+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 10:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.037+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 11:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
[2024-04-01T08:21:43.037+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 12:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.037+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 13:00:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
[2024-04-01T08:21:43.037+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 14:30:00', 23456, 'click', 'ad234', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.037+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 15:45:00', 67890, 'view', 'ad789', 'campaign_def', 'Twitter Ads')
[2024-04-01T08:21:43.037+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 16:15:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.037+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 08:30:00', 12345, 'click', 'ad123', 'campaign_xyz', 'Google Ads')
[2024-04-01T08:21:43.037+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 09:15:00', 54321, 'view', 'ad456', 'campaign_abc', 'Facebook Ads')
[2024-04-01T08:21:43.038+0000] {subprocess.py:93} INFO - Inserted data into ClickHouse: ('2024-03-25 10:00:00', 67890, 'click', 'ad789', 'campaign_def', 'Twitter Ads')
[2024-04-01T08:32:52.608+0000] {local_task_job_runner.py:294} WARNING - State of this instance has been externally set to removed. Terminating instance.
[2024-04-01T08:32:52.614+0000] {process_utils.py:131} INFO - Sending 15 to group 230. PIDs of all processes in the group: [232, 230]
[2024-04-01T08:32:52.614+0000] {process_utils.py:86} INFO - Sending the signal 15 to group 230
[2024-04-01T08:32:52.614+0000] {taskinstance.py:1630} ERROR - Received SIGTERM. Terminating subprocesses.
[2024-04-01T08:32:52.614+0000] {subprocess.py:104} INFO - Sending SIGTERM signal to process group
[2024-04-01T08:32:52.640+0000] {process_utils.py:79} INFO - Process psutil.Process(pid=232, status='terminated', started='07:49:01') (232) terminated with exit code None
[2024-04-01T08:32:52.641+0000] {process_utils.py:79} INFO - Process psutil.Process(pid=230, status='terminated', exitcode=0, started='07:49:01') (230) terminated with exit code 0
